"# Flow rate: avg: 33.3240 [m3/h] 
# Median: 33.7300 [m3/h]
# Mode: 37.3300 [m3/h]
# Max: 37.3300 [m3/h]
# Min: 28.7400 [m3/h]"
# MEASURE 
# MEASURE 
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 10:36:06
# Par.Record       :
# Meas. Point No.: : B:4700
# Outer Diameter  :     114.0 mm
# Wall Thickness  :       4.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      36.1 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       142

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
10:36:06;10:36:06;B;???;17.0;
10:36:07;10:36:07;B;???;17.0;
10:36:08;10:36:08;B;???;17.0;
10:36:09;10:36:09;B;???;23.0;
10:36:10;10:36:10;B;???;23.0;
10:36:11;10:36:11;B;???;23.0;
10:36:12;10:36:12;B;???;23.0;
10:36:13;10:36:13;B;???;15.0;
10:36:14;10:36:14;B;???;15.0;
10:36:15;10:36:15;B;???;12.0;
10:36:16;10:36:16;B;???;12.0;
10:36:17;10:36:17;B;???;1494.7;40.0;
10:36:18;10:36:18;B;???;1494.7;40.0;
10:36:19;10:36:19;B;31.2;1479.9;47.0;
10:36:20;10:36:20;B;31.27;1479.9;47.0;
10:36:21;10:36:21;B;31.15;1479.9;47.0;
10:36:22;10:36:22;B;31.15;1479.9;47.0;
10:36:23;10:36:23;B;30.69;1477.1;49.0;
10:36:24;10:36:24;B;30.43;1477.1;49.0;
10:36:25;10:36:25;B;30.55;1477.1;49.0;
10:36:26;10:36:26;B;30.55;1477.1;49.0;
10:36:27;10:36:27;B;29.09;1476.4;50.0;
10:36:28;10:36:28;B;28.74;1476.4;50.0;
10:36:29;10:36:29;B;28.74;1476.4;50.0;
10:36:30;10:36:30;B;???;1476.3;50.0;
10:36:31;10:36:31;B;???;1476.3;50.0;
10:36:32;10:36:32;B;???;1476.3;50.0;
10:36:33;10:36:33;B;???;1476.3;50.0;
10:36:34;10:36:34;B;33.04;1491.7;46.0;
10:36:35;10:36:35;B;35.52;1491.7;46.0;
10:36:36;10:36:36;B;35.52;1491.7;46.0;
10:36:37;10:36:37;B;34.95;1496.8;50.0;
10:36:38;10:36:38;B;34.36;1496.8;50.0;
10:36:39;10:36:39;B;34.83;1496.8;50.0;
10:36:40;10:36:40;B;34.83;1496.8;50.0;
10:36:41;10:36:41;B;36.69;1514.7;50.0;
10:36:42;10:36:42;B;37.33;1514.7;50.0;
10:36:43;10:36:43;B;37.33;1514.7;50.0;
10:36:44;10:36:44;B;37.33;1514.7;50.0;
10:36:45;10:36:45;B;36.35;1528.3;50.0;
10:36:46;10:36:46;B;35.25;1528.3;50.0;
10:36:47;10:36:47;B;35.25;1528.3;50.0;
10:36:48;10:36:48;B;34.48;1544.6;50.0;
10:36:49;10:36:49;B;34.0;1544.6;50.0;
10:36:50;10:36:50;B;33.66;1544.6;50.0;
10:36:51;10:36:51;B;35.37;1559.4;50.0;
10:36:52;10:36:52;B;34.0;1559.4;50.0;
10:36:53;10:36:53;B;33.38;1565.5;49.0;
10:36:54;10:36:54;B;31.98;1565.5;49.0;
10:36:55;10:36:55;B;31.98;1565.5;49.0;
10:36:56;10:36:56;B;31.42;1571.5;50.0;
10:36:57;10:36:57;B;29.88;1571.5;50.0;
10:36:58;10:36:58;B;29.56;1571.5;50.0;
10:36:59;10:36:59;B;29.56;1571.5;50.0;
10:37:00;10:37:00;B;30.17;1572.1;49.0;
10:37:01;10:37:01;B;31.85;1572.1;49.0;
10:37:02;10:37:02;B;31.85;1572.1;49.0;
10:37:03;10:37:03;B;33.33;1572.5;49.0;
10:37:04;10:37:04;B;33.5;1572.5;49.0;
10:37:05;10:37:05;B;33.61;1572.5;49.0;
10:37:06;10:37:06;B;33.61;1572.5;49.0;
10:37:07;10:37:07;B;33.73;1573.3;48.0;
10:37:08;10:37:08;B;33.21;1573.3;48.0;
10:37:09;10:37:09;B;33.94;1573.3;48.0;
10:37:10;10:37:10;B;33.94;1573.3;48.0;
10:37:11;10:37:11;B;34.13;1571.2;50.0;
10:37:12;10:37:12;B;34.04;1571.2;50.0;
10:37:13;10:37:13;B;34.02;1568.8;51.0;
10:37:14;10:37:14;B;34.32;1568.8;51.0;
10:37:15;10:37:15;B;???;1566.7;51.0;
10:37:16;10:37:16;B;35.17;1566.7;51.0;
10:37:17;10:37:17;B;35.17;1566.7;51.0;
10:37:18;10:37:18;B;34.61;1563.0;52.0;
10:37:19;10:37:19;B;34.47;1563.0;52.0;
10:37:20;10:37:20;B;34.47;1563.0;52.0;
10:37:21;10:37:21;B;35.24;1560.9;52.0;
10:37:22;10:37:22;B;35.04;1560.9;52.0;
10:37:23;10:37:23;B;34.86;1543.7;53.0;
10:37:24;10:37:24;B;33.95;1543.7;53.0;
10:37:25;10:37:25;B;33.9;1526.3;53.0;
10:37:26;10:37:26;B;33.7;1526.3;53.0;
10:37:27;10:37:27;B;33.7;1526.3;53.0;
10:37:28;10:37:28;B;32.59;1509.3;54.0;
10:37:29;10:37:29;B;32.59;1509.3;54.0;
10:37:30;10:37:30;B;32.59;1509.3;54.0;
10:37:31;10:37:31;B;???;1492.6;54.0;
10:37:32;10:37:32;B;???;1492.6;54.0;
10:37:33;10:37:33;B;???;11.0;
10:37:34;10:37:34;B;???;11.0;
10:37:35;10:37:35;B;???;11.0;
10:37:36;10:37:36;B;???;19.0;
10:37:37;10:37:37;B;???;19.0;
10:37:38;10:37:38;B;???;25.0;
10:37:39;10:37:39;B;???;25.0;
10:37:40;10:37:40;B;???;24.0;
10:37:41;10:37:41;B;???;24.0;
10:37:42;10:37:42;B;???;23.0;
10:37:43;10:37:43;B;???;23.0;
10:37:44;10:37:44;B;???;30.0;
10:37:45;10:37:45;B;???;30.0;
10:37:46;10:37:46;B;???;24.0;
10:37:47;10:37:47;B;???;24.0;
10:37:48;10:37:48;B;???;22.0;
10:37:49;10:37:49;B;???;15.0;
10:37:50;10:37:50;B;???;15.0;
10:37:51;10:37:51;B;???;15.0;
10:37:52;10:37:52;B;???;13.0;
10:37:53;10:37:53;B;???;13.0;
10:37:54;10:37:54;B;???;15.0;
10:37:55;10:37:55;B;???;15.0;
10:37:56;10:37:56;B;???;14.0;
10:37:57;10:37:57;B;???;14.0;
10:37:58;10:37:58;B;???;11.0;
10:37:59;10:37:59;B;???;11.0;
10:38:00;10:38:00;B;???;14.0;
10:38:01;10:38:01;B;???;14.0;
10:38:02;10:38:02;B;???;14.0;
10:38:03;10:38:03;B;???;14.0;
10:38:04;10:38:04;B;???;13.0;
10:38:05;10:38:05;B;???;13.0;
10:38:06;10:38:06;B;???;13.0;
10:38:07;10:38:07;B;???;13.0;
10:38:08;10:38:08;B;???;13.0;
10:38:09;10:38:09;B;???;13.0;
10:38:10;10:38:10;B;???;13.0;
10:38:11;10:38:11;B;???;12.0;
10:38:12;10:38:12;B;???;12.0;
10:38:13;10:38:13;B;???;12.0;
10:38:14;10:38:14;B;???;13.0;
10:38:15;10:38:15;B;???;13.0;
10:38:16;10:38:16;B;???;13.0;
10:38:17;10:38:17;B;???;11.0;
10:38:18;10:38:18;B;???;11.0;
10:38:19;10:38:19;B;???;11.0;
10:38:20;10:38:20;B;???;13.0;
10:38:21;10:38:21;B;???;13.0;
10:38:22;10:38:22;B;???;14.0;
10:38:23;10:38:23;B;???;14.0;
10:38:24;10:38:24;B;???;14.0;
10:38:25;10:38:25;B;???;13.0;
10:38:26;10:38:26;B;???;13.0;
10:38:27;10:38:27;B;???;13.0;
