TIME,MEASURE
10:41:52,111.02
10:41:53,111.02
10:41:54,111.02
10:41:55,112.15
10:41:56,114.44
10:41:57,114.44
10:41:58,116.27
10:41:59,118.56
10:42:00,119.33
10:42:01,120.57
10:42:02,121.49
10:42:03,122.01
10:42:04,121.14
10:42:05,120.29
10:42:06,119.39
10:42:07,119.74
10:42:08,119.09
10:42:09,117.03
10:42:10,116.85
10:42:11,118.33
10:42:12,120.76
10:42:13,121.17
10:42:14,120.76
10:42:15,121.54
10:42:16,124.36
10:42:17,124.36
10:42:18,127.83
10:42:19,127.83
10:42:20,129.49
10:42:21,130.1
10:42:22,129.46
10:42:23,128.53
10:42:24,128.11
10:42:25,128.11
10:42:26,127.73
10:42:27,127.73
10:42:28,127.4
10:42:29,127.4
10:42:30,127.39
10:42:31,127.39
10:42:32,127.13
10:42:33,126.94
10:42:34,126.68
10:42:35,126.45
10:42:36,125.95
10:42:37,125.95
10:42:38,124.96
10:42:39,124.96
10:42:40,124.52
10:42:41,124.71
10:42:42,125.95
10:42:43,125.95
10:42:44,126.51
10:42:45,126.95
10:42:46,127.23
10:42:47,127.25
10:42:48,127.21
10:42:49,127.26
10:42:50,127.24
10:42:51,127.24
10:42:52,127.59
10:42:53,127.59
10:42:54,126.97
10:42:55,126.65
10:42:56,126.65
10:42:57,127.26
10:42:58,128.65
10:42:59,128.65
10:43:00,129.94
10:43:01,130.37
10:43:02,130.98
10:43:03,131.87
10:43:04,131.94
10:43:05,132.02
10:43:06,130.29
10:43:07,128.46
10:43:08,126.63
10:43:09,125.0
10:43:10,124.02
10:43:11,123.1
10:43:12,121.8
10:43:13,121.41
10:43:14,120.75
10:43:15,120.77
10:43:16,121.36
