TIME,MEASURE
08:27:23,???
08:27:24,???
08:27:25,0.13
08:27:26,0.07
08:27:27,0.05
08:27:28,0.03
08:27:29,-0.11
08:27:30,-0.1
08:27:31,-0.07
08:27:32,0.01
08:27:33,0.03
08:27:34,0.02
08:27:35,0.02
08:27:36,0.06
08:27:37,0.05
08:27:38,0.05
08:27:39,0.04
08:27:40,0.13
08:27:41,0.12
08:27:42,0.09
08:27:43,0.06
08:27:44,0.02
08:27:45,0.02
08:27:46,0.02
08:27:47,0.01
08:27:48,0.01
08:27:49,0.01
08:27:50,0.01
08:27:51,0.01
08:27:52,0.01
08:27:53,0.01
08:27:54,0.0
08:27:55,0.0
08:27:56,0.0
08:27:57,0.0
08:27:58,0.0
08:27:59,-0.0
08:28:00,0.06
08:28:01,0.06
08:28:02,0.19
08:28:03,0.22
08:28:04,0.28
08:28:05,???
08:28:06,???
08:28:07,???
