timestamp,flow_m3h
2026-05-04 11:33:21,244.25
2026-05-04 11:33:22,244.25
2026-05-04 11:33:23,244.25
2026-05-04 11:33:24,244.25
2026-05-04 11:33:25,244.2
2026-05-04 11:33:26,248.55
2026-05-04 11:33:27,253.06
2026-05-04 11:33:28,255.76
2026-05-04 11:33:29,255.76
2026-05-04 11:33:30,255.76
2026-05-04 11:33:31,260.28
2026-05-04 11:33:32,260.87
2026-05-04 11:33:33,262.48
2026-05-04 11:33:36,265.49
2026-05-04 11:33:37,267.94
2026-05-04 11:33:38,271.85
2026-05-04 11:33:39,273.61
2026-05-04 11:33:40,273.61
2026-05-04 11:33:41,273.61
2026-05-04 11:33:42,274.41
2026-05-04 11:33:43,275.02
2026-05-04 11:33:44,275.33
2026-05-04 11:33:45,275.28
2026-05-04 11:33:46,275.28
2026-05-04 11:33:47,275.28
2026-05-04 11:33:50,275.66
2026-05-04 11:33:51,274.51
2026-05-04 11:33:52,274.51
2026-05-04 11:33:53,274.51
2026-05-04 11:33:54,270.01
2026-05-04 11:33:55,263.31
2026-05-04 11:33:56,256.39
2026-05-04 11:33:57,254.23
2026-05-04 11:33:58,254.23
2026-05-04 11:33:59,254.23
2026-05-04 11:34:00,253.28
2026-05-04 11:34:01,254.31
2026-05-04 11:34:02,254.22
2026-05-04 11:34:03,254.22
2026-05-04 11:34:04,254.22
2026-05-04 11:34:05,255.96
2026-05-04 11:34:06,258.87
2026-05-04 11:34:07,261.55
2026-05-04 11:34:08,264.9
2026-05-04 11:34:09,264.9
2026-05-04 11:34:10,264.9
2026-05-04 11:34:11,267.4
2026-05-04 11:34:12,268.09
2026-05-04 11:34:13,270.35
2026-05-04 11:34:14,274.03
2026-05-04 11:34:15,274.03
2026-05-04 11:34:16,274.03
2026-05-04 11:34:17,274.49
2026-05-04 11:34:18,274.19
2026-05-04 11:34:19,275.79
2026-05-04 11:34:20,273.79
2026-05-04 11:34:21,273.79
2026-05-04 11:34:22,273.79
2026-05-04 11:34:23,268.75
2026-05-04 11:34:24,266.06
2026-05-04 11:34:26,263.55
2026-05-04 11:34:27,263.55
2026-05-04 11:34:28,263.55
2026-05-04 11:34:29,261.41
2026-05-04 11:34:30,260.14
2026-05-04 11:34:31,260.14
2026-05-04 11:34:32,260.14
2026-05-04 11:34:33,261.52
2026-05-04 11:34:34,265.18
2026-05-04 11:34:35,268.13
2026-05-04 11:34:36,269.84
2026-05-04 11:34:37,269.84
2026-05-04 11:34:38,269.84
2026-05-04 11:34:39,272.92
2026-05-04 11:34:40,274.78
2026-05-04 11:34:41,277.74
2026-05-04 11:34:42,277.48
2026-05-04 11:34:43,277.48
