timestamp,flow_m3h
2026-05-07 09:00:31,632.67
2026-05-07 09:00:32,632.67
2026-05-07 09:00:33,632.16
2026-05-07 09:00:34,632.34
2026-05-07 09:00:35,630.35
2026-05-07 09:00:36,618.72
2026-05-07 09:00:37,615.61
2026-05-07 09:00:38,607.24
2026-05-07 09:00:39,612.88
2026-05-07 09:00:40,620.46
2026-05-07 09:00:41,607.8
2026-05-07 09:00:42,615.66
2026-05-07 09:00:43,615.66
2026-05-07 09:00:44,616.97
2026-05-07 09:00:45,626.64
2026-05-07 09:00:46,631.98
2026-05-07 09:00:47,638.35
2026-05-07 09:00:48,637.68
2026-05-07 09:00:49,638.15
2026-05-07 09:00:50,639.23
2026-05-07 09:00:51,643.64
2026-05-07 09:00:52,642.13
2026-05-07 09:00:53,638.22
2026-05-07 09:00:54,635.64
2026-05-07 09:00:55,636.83
2026-05-07 09:00:56,636.29
2026-05-07 09:00:57,637.33
2026-05-07 09:00:58,638.04
2026-05-07 09:00:59,637.96
2026-05-07 09:01:00,638.15
2026-05-07 09:01:01,639.23
2026-05-07 09:01:02,640.62
2026-05-07 09:01:03,639.93
2026-05-07 09:01:04,641.07
2026-05-07 09:01:05,639.75
2026-05-07 09:01:06,638.54
2026-05-07 09:01:07,637.72
2026-05-07 09:01:08,637.97
2026-05-07 09:01:09,635.96
2026-05-07 09:01:10,635.73
2026-05-07 09:01:11,635.72
2026-05-07 09:01:12,633.63
2026-05-07 09:01:13,631.47
2026-05-07 09:01:14,628.03
2026-05-07 09:01:15,622.29
2026-05-07 09:01:16,615.14
2026-05-07 09:01:17,612.95
2026-05-07 09:01:18,605.2
2026-05-07 09:01:19,602.04
2026-05-07 09:01:20,602.04
2026-05-07 09:01:21,602.23
2026-05-07 09:01:22,605.14
2026-05-07 09:01:23,608.21
2026-05-07 09:01:24,615.59
2026-05-07 09:01:25,622.59
2026-05-07 09:01:26,624.63
2026-05-07 09:01:27,629.94
2026-05-07 09:01:28,634.49
2026-05-07 09:01:29,634.81
2026-05-07 09:01:30,632.1
2026-05-07 09:01:31,628.29
2026-05-07 09:01:32,625.66
2026-05-07 09:01:33,621.64
2026-05-07 09:01:34,617.39
2026-05-07 09:01:35,611.06
2026-05-07 09:01:36,604.27
2026-05-07 09:01:37,601.12
2026-05-07 09:01:38,600.88
2026-05-07 09:01:39,604.9
2026-05-07 09:01:40,605.31
2026-05-07 09:01:41,605.31
2026-05-07 09:01:42,607.53
2026-05-07 09:01:43,610.12
2026-05-07 09:01:44,613.39
2026-05-07 09:01:45,615.75
2026-05-07 09:01:46,621.74
2026-05-07 09:01:47,629.3
2026-05-07 09:01:48,629.45
2026-05-07 09:01:49,629.75
2026-05-07 09:01:50,628.12
2026-05-07 09:01:51,628.12
2026-05-07 09:01:52,630.91
2026-05-07 09:01:53,633.6
2026-05-07 09:01:54,635.07
2026-05-07 09:01:55,635.66
2026-05-07 09:01:56,634.38
2026-05-07 09:01:57,635.75
2026-05-07 09:01:58,635.41
2026-05-07 09:01:59,634.71
2026-05-07 09:02:00,633.75
2026-05-07 09:02:01,626.42
