timestamp,flow_m3h
2026-05-07 08:12:27,0.02
2026-05-07 08:12:28,0.14
2026-05-07 08:12:30,0.03
2026-05-07 08:12:31,0.03
2026-05-07 08:12:32,0.01
2026-05-07 08:12:33,-0.02
2026-05-07 08:12:36,-0.03
2026-05-07 08:12:37,-0.01
2026-05-07 08:12:38,-0.01
2026-05-07 08:12:39,-0.01
2026-05-07 08:12:40,0.02
2026-05-07 08:12:41,0.0
2026-05-07 08:12:42,-0.08
2026-05-07 08:12:43,-0.18
2026-05-07 08:12:45,-0.24
2026-05-07 08:12:46,-0.18
2026-05-07 08:12:47,-0.04
2026-05-07 08:12:48,-0.0
2026-05-07 08:12:49,-0.0
2026-05-07 08:12:50,0.02
2026-05-07 08:12:51,0.01
2026-05-07 08:12:52,0.01
2026-05-07 08:12:53,0.02
2026-05-07 08:12:54,0.0
2026-05-07 08:12:55,0.01
2026-05-07 08:12:56,0.01
2026-05-07 08:12:57,0.01
2026-05-07 08:12:58,0.01
2026-05-07 08:12:59,0.01
2026-05-07 08:13:00,0.01
2026-05-07 08:13:01,0.02
2026-05-07 08:13:02,0.01
2026-05-07 08:13:03,0.01
2026-05-07 08:13:04,0.01
2026-05-07 08:13:05,0.01
